Time,Load
(sec),(N)
0,0.06729
0.0018,0.07128
0.1,0.05453
0.2,0.00621
0.3,0.00352
0.4,0.02063
0.5,-0.00168
0.6,-0.01183
0.7,-0.00167
0.8,-0.00656
0.9,-0.02108
1,-0.03623
1.1,-0.02316
1.2,-0.05095
1.3,-0.07705
1.4,-0.05499
1.5,-0.04504
1.6,-0.06794
1.7,-0.10153
1.8,-0.05887
1.9,-0.06541
2,-0.07291
2.1,-0.03818
2.2,-0.04398
2.3,0.00392
2.4,-0.02976
2.5,0.01042
2.6,0.02127
2.7,-0.01094
2.8,0.00993
2.9,0.02661
3,0.07505
3.1,0.04052
3.2,0.07159
3.3,0.06995
3.4,0.06751
3.5,0.08077
3.6,0.10659
3.7,0.14511
3.8,0.13146
3.9,0.13318
4,0.13957
4.1,0.15228
4.2,0.15482
4.3,0.16059
4.4,0.22012
4.5,0.19745
4.6,0.19575
4.7,0.21512
4.8,0.242
4.9,0.23735
5,0.23509
5.1,0.28304
5.2,0.29057
5.3,0.28612
5.4,0.28098
5.5,0.32328
5.6,0.32595
5.7,0.31702
5.8,0.34305
5.9,0.36331
6,0.34377
6.1,0.3759
6.2,0.40706
6.3,0.40066
6.4,0.38282
6.5,0.44951
6.6,0.44018
6.7,0.46917
6.8,0.46231
6.9,0.47285
7,0.51372
7.1,0.46894
7.2,0.52031
7.3,0.53858
7.4,0.57495
7.5,0.55378
7.6,0.56442
7.7,0.62015
7.8,0.58118
7.9,0.59988
8,0.62645
8.1,0.66843
8.2,0.65696
8.3,0.66008
8.4,0.70005
8.5,0.67041
8.6,0.70083
8.7,0.70356
8.8,0.76726
8.9,0.76224
9,0.75286
9.1,0.78686
9.2,0.79442
9.3,0.79596
9.4,0.8099
9.5,0.84774
9.6,0.87314
9.7,0.86722
9.8,0.8835
9.9,0.9029
10,0.88982
10.1,0.90287
10.2,0.92068
10.3,0.95941
10.4,0.93224
10.5,0.95771
10.6,0.97253
10.7,0.98524
10.8,0.9642
10.9,1.01894
11,1.06557
11.1,1.0273
11.2,1.07087
11.3,1.07439
11.4,1.09217
11.5,1.08804
11.6,1.12307
11.7,1.15075
11.8,1.15416
11.9,1.18558
12,1.1801
12.1,1.22331
12.2,1.2127
12.3,1.24451
12.4,1.27024
12.5,1.29787
12.6,1.30621
12.7,1.299
12.8,1.3709
12.9,1.3445
13,1.36337
13.1,1.40006
13.2,1.42582
13.3,1.43893
13.4,1.4314
13.5,1.48225
13.6,1.48498
13.7,1.48896
13.8,1.51454
13.9,1.556
14,1.56517
14.1,1.57984
14.2,1.62445
14.3,1.64968
14.4,1.62767
14.5,1.68056
14.6,1.69098
14.7,1.74065
14.8,1.72712
14.9,1.74531
15,1.77177
15.1,1.7644
15.2,1.77348
15.3,1.78496
15.4,1.84351
15.5,1.80723
15.6,1.83324
15.7,1.85545
15.8,1.87257
15.9,1.91251
16,1.91708
16.1,1.97802
16.2,1.94358
16.3,1.98622
16.4,1.99962
16.5,2.04575
16.6,2.06068
16.7,2.08098
16.8,2.1125
16.9,2.0849
17,2.13879
17.1,2.16858
17.2,2.21075
17.3,2.20802
17.4,2.23226
17.5,2.26452
17.6,2.30873
17.7,2.3081
17.8,2.3368
17.9,2.38571
18,2.38423
18.1,2.40486
18.2,2.45298
18.3,2.49806
18.4,2.51084
18.5,2.52858
18.6,2.56184
18.7,2.5983
18.8,2.59787
18.9,2.67329
19,2.70784
19.1,2.72745
19.2,2.74315
19.3,2.77878
19.4,2.80753
19.5,2.80626
19.6,2.87567
19.7,2.91553
19.8,2.97083
19.9,2.95385
20,2.98326
20.1,3.05172
20.2,3.04379
20.3,3.08196
20.4,3.06438
20.5,3.09758
20.6,3.08185
20.7,3.11755
20.8,3.14447
20.9,3.14321
21,3.17596
21.1,3.1996
21.2,3.2987
21.3,3.28598
21.4,3.30991
21.5,3.36703
21.6,3.39157
21.7,3.41538
21.8,3.45949
21.9,3.54117
22,3.56583
22.1,3.58989
22.2,3.64741
22.3,3.67872
22.4,3.69644
22.5,3.74564
22.6,3.7842
22.7,3.8372
22.8,3.85072
22.9,3.91254
23,3.96087
23.1,4.00517
23.2,4.03726
23.3,4.06442
23.4,4.1232
23.5,4.12218
23.6,4.19163
23.7,4.21718
23.8,4.26871
23.9,4.26541
24,4.31715
24.1,4.37273
24.2,4.39623
24.3,4.4287
24.4,4.47572
24.5,4.52325
24.6,4.53872
24.7,4.61366
24.8,4.65414
24.9,4.68752
25,4.70992
25.1,4.76363
25.2,4.84976
25.3,4.84171
25.4,4.89182
25.5,4.94041
25.6,5.00066
25.7,5.03602
25.8,5.05848
25.9,5.12066
26,5.15296
26.1,5.20648
26.2,5.24263
26.3,5.32848
26.4,5.34829
26.5,5.37348
26.6,5.43301
26.7,5.47201
26.8,5.53325
26.9,5.601
27,5.65436
27.1,5.68508
27.2,5.72215
27.3,5.77147
27.4,5.84321
27.5,5.88027
27.6,5.93404
27.7,5.9978
27.8,6.05625
27.9,6.06894
28,6.14261
28.1,6.19761
28.2,6.23249
28.3,6.28574
28.4,6.33511
28.5,6.41018
28.6,6.34596
28.7,6.42172
28.8,6.57317
28.9,6.7492
29,6.77645
29.1,6.73755
29.2,6.72125
29.2198,6.80953
29.3,6.72568
29.4,6.86563
29.5,6.99021
29.6,7.06722
29.7,7.05394
29.8,7.02538
29.9,7.07563
30,7.18696
30.1,7.32185
30.2,7.35702
30.3,7.36755
30.4,7.34025
30.5,7.35356
30.6,7.43842
30.7,7.54452
30.8,7.60023
30.9,7.61924
31,7.64619
31.1,7.65087
31.2,7.7242
31.3,7.82872
31.4,7.9233
31.5,7.95674
31.6,7.97228
31.7,8.01749
31.8,8.07622
31.9,8.15263
32,8.29174
32.1,8.31533
32.2,8.28561
32.3,8.32454
32.4,8.4929
32.5,8.64939
32.6,8.66219
32.7,8.69458
32.8,8.68232
32.9,8.75152
33,8.83945
33.1,8.98837
33.2,9.06443
33.3,9.08061
33.4,9.11169
33.5,9.15475
33.6,9.28126
33.7,9.34097
33.8,9.44778
33.9,9.45677
34,9.50796
34.1,9.54704
34.2,9.64127
34.3,9.75761
34.4,9.82451
34.5,9.88968
34.6,9.91374
34.7,9.96977
34.8,10.04687
34.9,10.14583
35,10.24426
35.1,10.32653
35.2,10.38478
35.3,10.41496
35.4,10.51339
35.5,10.59112
35.6,10.69454
35.7,10.77707
35.8,10.84034
35.9,10.8981
36,10.96271
36.1,11.05846
36.2,11.14502
36.3,11.21162
36.4,11.30364
36.5,11.36836
36.6,11.43007
36.7,11.51573
36.8,11.58694
36.9,11.70234
37,11.75142
37.1,11.83751
37.2,11.90328
37.2538,11.96066
37.3,11.9962
37.4,12.074
37.5,12.17057
37.6,12.24888
37.7,12.31301
37.8,12.43175
37.9,12.50233
38,12.61556
38.1,12.67713
38.2,12.76622
38.3,12.86119
38.4,12.91788
38.5,13.03192
38.6,13.09562
38.7,13.22343
38.8,13.29857
38.9,13.36192
39,13.47226
39.1,13.53473
39.2,13.64108
39.3,13.72276
39.4,13.83764
39.5,13.90434
39.6,14.00119
39.7,14.09877
39.8,14.18304
39.9,14.2765
40,14.35933
40.1,14.46538
